Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"S100A2","S100 Calcium Binding Protein A2","Protein Coding","P29034","54","GC01M153561","1.93160212039948","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A2"
"PHLDA1","Pleckstrin Homology Like Domain Family A Member 1","Protein Coding","Q8WV24","45","GC12M076025","1.93032693862915","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHLDA1"
"SMIM1","Small Integral Membrane Protein 1 (Vel Blood Group)","Protein Coding","B2RUZ4","38","GC01P003772","1.93032693862915","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMIM1"
"CCDC144NL","CCDC144A N-Terminal Like (Pseudogene)","Pseudogene","Q6NUI1","31","GC17M088725","1.93032693862915","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC144NL"
"MCAM","Melanoma Cell Adhesion Molecule","Protein Coding","P43121","54","GC11M119308","1.92363679409027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCAM"
"LINC00511","Long Intergenic Non-Protein Coding RNA 511","RNA Gene","","25","GC17M091151","1.9208710193634","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00511"
"WASHC1","WASH Complex Subunit 1","Protein Coding","A8K0Z3","41","GC09M000016","1.91941714286804","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WASHC1"
"KCNJ12","Potassium Inwardly Rectifying Channel Subfamily J Member 12","Protein Coding","Q14500","55","GC17P133126","1.91749823093414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ12"
"MYO18A","Myosin XVIIIA","Protein Coding","Q92614","51","GC17M088849","1.91593313217163","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO18A"
"KRT3","Keratin 3","Protein Coding","P12035","51","GC12M052789","1.908731341362","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT3"
"GRIN2C","Glutamate Ionotropic Receptor NMDA Type Subunit 2C","Protein Coding","Q14957","57","GC17M074842","1.8942232131958","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2C"
"MAPKAPK5","MAPK Activated Protein Kinase 5","Protein Coding","Q8IW41","56","GC12P111842","1.89060831069946","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPKAPK5"
"MIR124-2","MicroRNA 124-2","RNA Gene","","24","GC08P064379","1.88514149188995","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR124-2"
"A2ML1","Alpha-2-Macroglobulin Like 1","Protein Coding","A8K2U0","51","GC12P008822","1.87270021438599","https://www.genecards.org/cgi-bin/carddisp.pl?gene=A2ML1"
"MBD4","Methyl-CpG Binding Domain 4, DNA Glycosylase","Protein Coding","O95243","56","GC03M129430","1.87235760688782","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBD4"
"CSN2","Casein Beta","Protein Coding","P05814","45","GC04M069955","1.87068557739258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSN2"
"VPS29","VPS29 Retromer Complex Component","Protein Coding","Q9UBQ0","52","GC12M110491","1.86718344688416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS29"
"CPSF3","Cleavage And Polyadenylation Specific Factor 3","Protein Coding","Q9UKF6","52","GC02P009423","1.85868060588837","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPSF3"
"TFPT","TCF3 Fusion Partner","Protein Coding","P0C1Z6","45","GC19M054107","1.85811543464661","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFPT"
"AFG1L","AFG1 Like ATPase","Protein Coding","Q8WV93","45","GC06P157467","1.85797715187073","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFG1L"
"UTP25","UTP25 Small Subunit Processome Component","Protein Coding","Q68CQ4","41","GC01P210390","1.8551253080368","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UTP25"
"NCAM1","Neural Cell Adhesion Molecule 1","Protein Coding","P13591","61","GC11P112961","1.84641849994659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAM1"
"GLYATL2","Glycine-N-Acyltransferase Like 2","Protein Coding","Q8WU03","38","GC11M132545","1.84002363681793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLYATL2"
"KIF1B","Kinesin Family Member 1B","Protein Coding","O60333","55","GC01P010210","1.82852280139923","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF1B"
"SRXN1","Sulfiredoxin 1","Protein Coding","Q9BYN0","47","GC20M000687","1.8279128074646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRXN1"
"VPS26A","VPS26 Retromer Complex Component A","Protein Coding","O75436","51","GC10P069123","1.82064032554626","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS26A"
"PCARE","Photoreceptor Cilium Actin Regulator","Protein Coding","A6NGG8","46","GC02M029060","1.81446313858032","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCARE"
"ITGAV","Integrin Subunit Alpha V","Protein Coding","P06756","60","GC02P186589","1.81409001350403","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAV"
"HFM1","Helicase For Meiosis 1","Protein Coding","A2PYH4","50","GC01M091260","1.80639433860779","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFM1"
"SCIN","Scinderin","Protein Coding","Q9Y6U3","50","GC07P012570","1.8005805015564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCIN"
"SEPTIN7","Septin 7","Protein Coding","Q16181","51","GC07P036929","1.79924154281616","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEPTIN7"
"GLRA2","Glycine Receptor Alpha 2","Protein Coding","P23416","58","GC0XP014448","1.79884886741638","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLRA2"
"MPP2","MAGUK P55 Scaffold Protein 2","Protein Coding","Q14168","47","GC17M043875","1.79142189025879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPP2"
"RELB","RELB Proto-Oncogene, NF-KB Subunit","Protein Coding","Q01201","58","GC19P133242","1.7883574962616","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELB"
"BAZ2B","Bromodomain Adjacent To Zinc Finger Domain 2B","Protein Coding","Q9UIF8","50","GC02M159318","1.78231072425842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAZ2B"
"H2BC11","H2B Clustered Histone 11","Protein Coding","P06899","43","GC06M099977","1.77801918983459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC11"
"ELK1","ETS Transcription Factor ELK1","Protein Coding","P19419","58","GC0XM047635","1.77340340614319","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELK1"
"POLR3F","RNA Polymerase III Subunit F","Protein Coding","Q9H1D9","54","GC20P019656","1.77301442623138","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR3F"
"ANXA3","Annexin A3","Protein Coding","P12429","55","GC04P078551","1.77193641662598","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA3"
"ARL2","ADP Ribosylation Factor Like GTPase 2","Protein Coding","P36404","52","GC11P098926","1.77160823345184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL2"
"MAP4","Microtubule Associated Protein 4","Protein Coding","P27816","52","GC03M047850","1.76100778579712","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP4"
"TRPC6","Transient Receptor Potential Cation Channel Subfamily C Member 6","Protein Coding","Q9Y210","62","GC11M101451","1.75860202312469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPC6"
"LOC399900","Uncharacterized LOC399900","RNA Gene","","12","GC11P061967","1.75655746459961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC399900"
"EHD2","EH Domain Containing 2","Protein Coding","Q9NZN4","47","GC19P047713","1.75588130950928","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EHD2"
"GNRH2","Gonadotropin Releasing Hormone 2","Protein Coding","O43555","43","GC20P003043","1.75558364391327","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNRH2"
"TIMM23","Translocase Of Inner Mitochondrial Membrane 23","Protein Coding","O14925","44","GC10P045972","1.75531840324402","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMM23"
"CNNM1","Cyclin And CBS Domain Divalent Metal Cation Transport Mediator 1","Protein Coding","Q9NRU3","44","GC10P116356","1.75086212158203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNNM1"
"FXR2","FMR1 Autosomal Homolog 2","Protein Coding","P51116","51","GC17M088305","1.74997818470001","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FXR2"
"GDI2","GDP Dissociation Inhibitor 2","Protein Coding","P50395","50","GC10M005765","1.74785339832306","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDI2"
"MIR345","MicroRNA 345","RNA Gene","","28","GC14P100307","1.74623262882233","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR345"
"IRF2","Interferon Regulatory Factor 2","Protein Coding","P14316","56","GC04M184387","1.74594688415527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF2"
"SCGB1A1","Secretoglobin Family 1A Member 1","Protein Coding","P11684","54","GC11P062405","1.7442193031311","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCGB1A1"
"H2AC21","H2A Clustered Histone 21","Protein Coding","Q8IUE6","40","GC01M164862","1.74403357505798","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2AC21"
"HSPH1","Heat Shock Protein Family H (Hsp110) Member 1","Protein Coding","Q92598","54","GC13M031134","1.74183487892151","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPH1"
"RNPEP","Arginyl Aminopeptidase","Protein Coding","Q9H4A4","51","GC01P201982","1.74154329299927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNPEP"
"CXCR1","C-X-C Motif Chemokine Receptor 1","Protein Coding","P25024","56","GC02M218162","1.74109613895416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR1"
"OVOL2","Ovo Like Zinc Finger 2","Protein Coding","Q9BRP0","45","GC20M017956","1.73916053771973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OVOL2"
"PTPN6","Protein Tyrosine Phosphatase Non-Receptor Type 6","Protein Coding","P29350","62","GC12P046789","1.73607587814331","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN6"
"ZNF687","Zinc Finger Protein 687","Protein Coding","Q8N1G0","47","GC01P151281","1.72995209693909","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF687"
"MEOX2","Mesenchyme Homeobox 2","Protein Coding","P50222","51","GC07M015617","1.72568154335022","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEOX2"
"COPE","COPI Coat Complex Subunit Epsilon","Protein Coding","O14579","51","GC19M018899","1.72524905204773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COPE"
"NPLOC4","NPL4 Homolog, Ubiquitin Recognition Factor","Protein Coding","Q8TAT6","51","GC17M081556","1.71623885631561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPLOC4"
"SNRPD3","Small Nuclear Ribonucleoprotein D3 Polypeptide","Protein Coding","P62318","48","GC22P024555","1.71447801589966","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPD3"
"GRHL2","Grainyhead Like Transcription Factor 2","Protein Coding","Q6ISB3","52","GC08P101492","1.71270561218262","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRHL2"
"MYO1C","Myosin IC","Protein Coding","O00159","53","GC17M001464","1.69342708587646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO1C"
"MIR1260A","MicroRNA 1260a","RNA Gene","","21","GC14P077266","1.69263029098511","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1260A"
"PDF","Peptide Deformylase, Mitochondrial","Protein Coding","Q9HBH1","40","GC16M073777","1.69143557548523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDF"
"KLK7","Kallikrein Related Peptidase 7","Protein Coding","P49862","54","GC19M101382","1.69071674346924","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK7"
"PAK4","P21 (RAC1) Activated Kinase 4","Protein Coding","O96013","62","GC19P039125","1.69012010097504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAK4"
"ITGA4","Integrin Subunit Alpha 4","Protein Coding","P13612","62","GC02P181483","1.68174254894257","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA4"
"GPR18","G Protein-Coupled Receptor 18","Protein Coding","Q14330","51","GC13M099254","1.68075573444366","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR18"
"TXNDC5","Thioredoxin Domain Containing 5","Protein Coding","Q8NBS9","48","GC06M007893","1.67780935764313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNDC5"
"SNORD20","Small Nucleolar RNA, C/D Box 20","RNA Gene","","21","GC02M231456","1.67765998840332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD20"
"NORAD","Non-Coding RNA Activated By DNA Damage","RNA Gene","","27","GC20M036609","1.67576444149017","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NORAD"
"AQP5","Aquaporin 5","Protein Coding","P55064","60","GC12P049961","1.67546772956848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP5"
"PYM1","PYM Homolog 1, Exon Junction Complex Associated Factor","Protein Coding","Q9BRP8","41","GC12M059816","1.67182314395905","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYM1"
"CSE1L","Chromosome Segregation 1 Like","Protein Coding","P55060","53","GC20P049046","1.66969132423401","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSE1L"
"AHNAK","AHNAK Nucleoprotein","Protein Coding","Q09666","48","GC11M132665","1.66875529289246","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHNAK"
"LOC108663987","Ataxin 3 Repeat Instability Region","Functional Element","","10","GC14P092071","1.6667582988739","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108663987"
"IFNA8","Interferon Alpha 8","Protein Coding","P32881","48","GC09P021409","1.66528677940369","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA8"
"RSPRY1","Ring Finger And SPRY Domain Containing 1","Protein Coding","Q96DX4","47","GC16P105598","1.66333556175232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RSPRY1"
"SLC24A3","Solute Carrier Family 24 Member 3","Protein Coding","Q9HC58","51","GC20P019212","1.6627881526947","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC24A3"
"CLDN4","Claudin 4","Protein Coding","O14493","54","GC07P073799","1.66014075279236","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN4"
"AGO4","Argonaute RISC Component 4","Protein Coding","Q9HCK5","42","GC01P035807","1.65537929534912","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGO4"
"ORC6","Origin Recognition Complex Subunit 6","Protein Coding","Q9Y5N6","50","GC16P046689","1.64980340003967","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORC6"
"CD209","CD209 Molecule","Protein Coding","Q9NNX6","56","GC19M007739","1.64911496639252","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD209"
"SLC36A1","Solute Carrier Family 36 Member 1","Protein Coding","Q7Z2H8","50","GC05P151344","1.64724266529083","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC36A1"
"CPD","Carboxypeptidase D","Protein Coding","O75976","50","GC17P030378","1.64685702323914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPD"
"PHPT1","Phosphohistidine Phosphatase 1","Protein Coding","Q9NRX4","47","GC09P136848","1.64671301841736","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHPT1"
"TNFRSF25","TNF Receptor Superfamily Member 25","Protein Coding","Q93038","55","GC01M006460","1.63455843925476","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF25"
"MSRB2","Methionine Sulfoxide Reductase B2","Protein Coding","Q9Y3D2","50","GC10P023095","1.63373804092407","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSRB2"
"UBE2C","Ubiquitin Conjugating Enzyme E2 C","Protein Coding","O00762","55","GC20P045812","1.62476408481598","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2C"
"EIF5A2","Eukaryotic Translation Initiation Factor 5A2","Protein Coding","Q9GZV4","50","GC03M170888","1.62392497062683","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF5A2"
"SEMG1","Semenogelin 1","Protein Coding","P04279","46","GC20P046548","1.61782431602478","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMG1"
"STXBP4","Syntaxin Binding Protein 4","Protein Coding","Q6ZWJ1","46","GC17P054968","1.61039757728577","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STXBP4"
"SLC30A4","Solute Carrier Family 30 Member 4","Protein Coding","O14863","50","GC15M045479","1.61021971702576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A4"
"S100G","S100 Calcium Binding Protein G","Protein Coding","P29377","47","GC0XP016668","1.60985767841339","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100G"
"ERP44","Endoplasmic Reticulum Protein 44","Protein Coding","Q9BS26","51","GC09M099979","1.59816408157349","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERP44"
"GGA1","Golgi Associated, Gamma Adaptin Ear Containing, ARF Binding Protein 1","Protein Coding","Q9UJY5","48","GC22P037608","1.59221029281616","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGA1"
"LTBP3","Latent Transforming Growth Factor Beta Binding Protein 3","Protein Coding","Q9NS15","55","GC11M065538","1.59112429618835","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP3"
"MDK","Midkine","Protein Coding","P21741","56","GC11P046380","1.59103727340698","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDK"
"ACR","Acrosin","Protein Coding","P10323","52","GC22P050738","1.58971977233887","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACR"
"KRT12","Keratin 12","Protein Coding","Q99456","51","GC17M040861","1.58719968795776","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT12"
"TRAF4","TNF Receptor Associated Factor 4","Protein Coding","Q9BUZ4","54","GC17P133237","1.57571256160736","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF4"
"ILF2","Interleukin Enhancer Binding Factor 2","Protein Coding","Q12905","49","GC01M153661","1.57566726207733","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ILF2"
"COQ10B","Coenzyme Q10B","Protein Coding","Q9H8M1","47","GC02P197453","1.57555222511292","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COQ10B"
"EYA1","EYA Transcriptional Coactivator And Phosphatase 1","Protein Coding","Q99502","56","GC08M071210","1.56935906410217","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EYA1"
"CCL16","C-C Motif Chemokine Ligand 16","Protein Coding","O15467","45","GC17M035976","1.56721937656403","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL16"
"MPLKIP","M-Phase Specific PLK1 Interacting Protein","Protein Coding","Q8TAP9","47","GC07M040126","1.56194686889648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPLKIP"
"SUPT16H","SPT16 Homolog, Facilitates Chromatin Remodeling Subunit","Protein Coding","Q9Y5B9","51","GC14M021351","1.55551731586456","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUPT16H"
"ACP4","Acid Phosphatase 4","Protein Coding","Q9BZG2","44","GC19P133483","1.55334496498108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP4"
"AKAP1","A-Kinase Anchoring Protein 1","Protein Coding","Q92667","53","GC17P057085","1.55284762382507","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP1"
"VWA3B","Von Willebrand Factor A Domain Containing 3B","Protein Coding","Q502W6","47","GC02P098638","1.54764580726624","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWA3B"
"H2AC12","H2A Clustered Histone 12","Protein Coding","Q96KK5","42","GC06P164128","1.53990232944489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2AC12"
"SMURF1","SMAD Specific E3 Ubiquitin Protein Ligase 1","Protein Coding","Q9HCE7","55","GC07M099027","1.52813792228699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMURF1"
"NUMA1","Nuclear Mitotic Apparatus Protein 1","Protein Coding","Q14980","57","GC11M072002","1.52712571620941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUMA1"
"ADAM8","ADAM Metallopeptidase Domain 8","Protein Coding","P78325","55","GC10M133262","1.52098417282104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM8"
"TRHDE","Thyrotropin Releasing Hormone Degrading Enzyme","Protein Coding","Q9UKU6","49","GC12P072087","1.51791179180145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRHDE"
"PDGFA","Platelet Derived Growth Factor Subunit A","Protein Coding","P04085","56","GC07M000497","1.51614141464233","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFA"
"GMNN","Geminin DNA Replication Inhibitor","Protein Coding","O75496","57","GC06P024779","1.51481676101685","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GMNN"
"ZFP91-CNTF","ZFP91-CNTF Readthrough (NMD Candidate)","RNA Gene","","23","GC11P058579","1.5128527879715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFP91-CNTF"
"FOXF1","Forkhead Box F1","Protein Coding","Q12946","54","GC16P086510","1.51045727729797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXF1"
"DUSP23","Dual Specificity Phosphatase 23","Protein Coding","Q9BVJ7","43","GC01P159780","1.5050323009491","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP23"
"MFAP2","Microfibril Associated Protein 2","Protein Coding","P55001","51","GC01M016974","1.50232470035553","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MFAP2"
"FCER1G","Fc Epsilon Receptor Ig","Protein Coding","P30273","52","GC01P161215","1.50108933448792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCER1G"
"TXNL1","Thioredoxin Like 1","Protein Coding","O43396","50","GC18M056597","1.50056290626526","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNL1"
"GPR143","G Protein-Coupled Receptor 143","Protein Coding","P51810","52","GC0XM009725","1.48839604854584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR143"
"MSH3","MutS Homolog 3","Protein Coding","P20585","55","GC05P080654","1.48454320430756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH3"
"SCARNA23","Small Cajal Body-Specific RNA 23","RNA Gene","","22","GC0XP024744","1.48096764087677","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARNA23"
"CDSN","Corneodesmosin","Protein Coding","Q15517","52","GC06M031115","1.47958064079285","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDSN"
"PLSCR1","Phospholipid Scramblase 1","Protein Coding","O15162","54","GC03M146515","1.46568703651428","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLSCR1"
"GLRA3","Glycine Receptor Alpha 3","Protein Coding","O75311","51","GC04M174636","1.46472406387329","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLRA3"
"DDX27","DEAD-Box Helicase 27","Protein Coding","Q96GQ7","41","GC20P049219","1.46166980266571","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX27"
"AOAH","Acyloxyacyl Hydrolase","Protein Coding","P28039","51","GC07M036519","1.46080982685089","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOAH"
"COL8A1","Collagen Type VIII Alpha 1 Chain","Protein Coding","P27658","51","GC03P099638","1.45826148986816","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL8A1"
"GIMAP5","GTPase, IMAP Family Member 5","Protein Coding","Q96F15","49","GC07P150722","1.45776796340942","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIMAP5"
"GLMN","Glomulin, FKBP Associated Protein","Protein Coding","Q92990","50","GC01M092246","1.45376420021057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLMN"
"COPG2","COPI Coat Complex Subunit Gamma 2","Protein Coding","Q9UBF2","47","GC07M130506","1.45344924926758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COPG2"
"IPW","Imprinted In Prader-Willi Syndrome","RNA Gene","","22","GC15P025116","1.45229017734528","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IPW"
"PTMS","Parathymosin","Protein Coding","P20962","42","GC12P006765","1.45196175575256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTMS"
"BCLAF1","BCL2 Associated Transcription Factor 1","Protein Coding","Q9NYF8","51","GC06M136256","1.43939542770386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCLAF1"
"LTBP2","Latent Transforming Growth Factor Beta Binding Protein 2","Protein Coding","Q14767","56","GC14M074498","1.43854975700378","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP2"
"PIP","Prolactin Induced Protein","Protein Coding","P12273","50","GC07P143132","1.43348515033722","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIP"
"SYTL4","Synaptotagmin Like 4","Protein Coding","Q96C24","49","GC0XM100674","1.43240857124329","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYTL4"
"DUSP4","Dual Specificity Phosphatase 4","Protein Coding","Q13115","52","GC08M029356","1.42925643920898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP4"
"RCN1","Reticulocalbin 1","Protein Coding","Q15293","51","GC11P032090","1.42804527282715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RCN1"
"INTS9","Integrator Complex Subunit 9","Protein Coding","Q9NV88","47","GC08M028767","1.42491686344147","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INTS9"
"SLC39A2","Solute Carrier Family 39 Member 2","Protein Coding","Q9NP94","43","GC14P051516","1.40895867347717","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A2"
"COL10A1","Collagen Type X Alpha 1 Chain","Protein Coding","Q03692","54","GC06M116118","1.40892362594604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL10A1"
"LRMDA","Leucine Rich Melanocyte Differentiation Associated","Protein Coding","Q9H2I8","47","GC10P075508","1.4087108373642","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRMDA"
"ZXDB","Zinc Finger X-Linked Duplicated B","Protein Coding","P98169","40","GC0XP059564","1.39713299274445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZXDB"
"NFKBIB","NFKB Inhibitor Beta","Protein Coding","Q15653","52","GC19P038899","1.39599168300629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKBIB"
"GADD45A","Growth Arrest And DNA Damage Inducible Alpha","Protein Coding","P24522","55","GC01P067685","1.39533114433289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GADD45A"
"MCF2L","MCF.2 Cell Line Derived Transforming Sequence Like","Protein Coding","O15068","51","GC13P112894","1.39266204833984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCF2L"
"CD70","CD70 Molecule","Protein Coding","P32970","55","GC19M100106","1.3918229341507","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD70"
"CASP14","Caspase 14","Protein Coding","P31944","58","GC19P015049","1.3903774023056","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP14"
"NLRP5","NLR Family Pyrin Domain Containing 5","Protein Coding","P59047","50","GC19P133723","1.38657474517822","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP5"
"MIR92A2","MicroRNA 92a-2","RNA Gene","","23","GC0XM134521","1.38322126865387","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR92A2"
